objectid;usoagregad;grupo;area;ruleid;ano;ruleid_1;shape_Length;shape_Area
48;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,52629E+12;1;2018;1;7,9549E+14;1,52629E+14
49;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,05616E+11;1;2018;1;4,19176E+14;1,05616E+14
50;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,06496E+11;1;2018;1;2,68526E+14;3,06496E+14
51;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,02857E+11;1;2018;1;2,67666E+14;5,02857E+14
52;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,06174E+11;1;2018;1;3,17752E+14;5,06174E+14
53;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,78056E+12;1;2018;1;1,13714E+14;1,78056E+14
54;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,16435E+12;1;2018;1;8,85337E+14;2,16435E+14
55;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,81954E+12;1;2018;1;1,16504E+14;1,81954E+14
56;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,17322E+12;1;2018;1;7,69643E+14;1,17322E+14
57;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;8,17063E+11;1;2018;1;3,63193E+14;8,17064E+14
58;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;9,28887E+12;1;2018;1;3,58345E+14;9,28887E+14
59;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,16389E+12;1;2018;1;8,63116E+13;1,16389E+14
60;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,74492E+14;1;2018;1;2,85995E+14;1,74492E+14
61;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,74778E+11;1;2018;1;3,22912E+13;5,74778E+14
62;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;8,68713E+11;1;2018;1;4,79915E+14;8,68712E+14
63;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,65332E+11;1;2018;1;1,67961E+14;1,65332E+14
64;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;65311286158;1;2018;1;3,85836E+13;6,53113E+14
65;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,83121E+13;1;2018;1;7,73527E+14;1,83121E+14
66;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,16352E+12;1;2018;1;1,14089E+14;5,16352E+14
67;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,68952E+13;1;2018;1;4,4523E+14;1,68952E+14
68;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;26015876251;1;2018;1;2,12161E+14;2,60159E+14
69;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,32458E+11;1;2018;1;2,19069E+14;2,32458E+14
70;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;55433720696;1;2018;1;4,40613E+14;5,54337E+14
71;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;6,14511E+11;1;2018;1;4,41565E+14;6,1451E+14
72;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,21288E+11;1;2018;1;3,95415E+14;5,21288E+14
73;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;6,45591E+11;1;2018;1;6,19017E+14;6,4559E+14
74;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,47293E+11;1;2018;1;1,5118E+13;1,47292E+14
75;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;4,09269E+11;1;2018;1;2,49644E+14;4,09269E+13
76;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;7,52176E+12;1;2018;1;1,58186E+14;7,52176E+13
77;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,11347E+13;1;2018;1;5,80368E+14;1,11347E+14
78;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,27779E+12;1;2018;1;8,79356E+14;2,27779E+14
79;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,72381E+12;1;2018;1;1,7691E+14;1,72381E+14
80;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,96264E+13;1;2018;1;3,49851E+13;1,96264E+14
81;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,24068E+11;1;2018;1;1,98563E+14;2,24068E+14
82;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,00559E+12;1;2018;1;4,84306E+14;1,00559E+13
83;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;4,8908E+13;1;2018;1;5,70966E+14;4,8908E+14
84;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;6,31761E+11;1;2018;1;4,65762E+14;6,31761E+14
85;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;8,80177E+11;1;2018;1;4,04697E+14;8,80177E+13
86;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,81803E+11;1;2018;1;8,90287E+14;1,81803E+14
87;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,31956E+11;1;2018;1;1,33443E+14;1,31956E+14
88;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,21044E+12;1;2018;1;1,9678E+14;1,21044E+11
89;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,14021E+11;1;2018;1;2,6943E+14;3,14021E+14
90;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,04165E+12;1;2018;1;8,718E+14;3,04165E+14
91;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,01481E+11;1;2018;1;2,0096E+14;2,01481E+14
92;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,12921E+12;1;2018;1;5,38866E+14;1,12921E+14
93;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;6,324E+11;1;2018;1;3,22E+14;6,324E+14
94;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,73161E+12;1;2018;1;9,43613E+14;1,73161E+14
95;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;41867696367;1;2018;1;2,6077E+14;4,18677E+13
96;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,47412E+12;1;2018;1;6,54702E+14;1,47412E+14
97;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,32843E+11;1;2018;1;2,66566E+14;2,32843E+14
